ride_id,rider_id,driver_id,city,pickup_at,distance_mi,surge_mult,rider_rating,duration_min,fare_usd
40,466,419,Boston,2025-12-24 07:00:00,3.34,1.6,5,9.3,10.24
41,3147,486,Boston,2025-08-14 05:00:00,2.46,1.59,5,7.1,8.22
42,1594,71,Boston,2025-04-06 03:45:00,2.23,1,5,8.1,6.15
43,1489,197,Seattle,2025-10-29 15:25:00,13.65,1,3,41.3,23.83
44,2779,522,San Francisco,2025-11-24 20:20:00,5.8,1,5,14.5,10.75
45,707,798,Seattle,2025-10-09 04:25:00,8.31,1,5,25.1,12.46
46,1436,721,Boston,2025-05-30 03:50:00,6.79,1,5,21.6,12.17
47,103,646,Seattle,2025-08-09 01:30:00,3.62,1.37,4,11.8,9.9
48,3547,358,Seattle,2025-06-10 22:50:00,11.14,1.19,4,32.5,22.29
49,3200,8,Chicago,2025-10-24 13:00:00,4.5,1.71,4,13.9,13.64
50,1612,163,San Francisco,2025-10-20 05:40:00,4.11,1.41,NA,12.5,10.54
51,2635,39,Chicago,2025-10-28 07:30:00,1.48,1,3,5.5,4.4
52,3750,562,Boston,2025-11-28 06:55:00,2.51,1.07,5,9.6,5.4
53,1909,116,Austin,2025-05-12 14:00:00,5.12,1.24,4,14.5,12.24
54,3293,375,San Francisco,2025-11-30 00:40:00,5.52,1,4,17.6,10.5
55,336,233,Seattle,2025-03-03 15:30:00,15.12,1.39,3,46,32.75
56,2401,544,Seattle,2025-11-08 09:15:00,4.78,1,5,12,10.03
57,798,346,Chicago,2025-02-02 18:50:00,5.3,1.11,4,17.2,11.2
58,3063,196,Seattle,2025-11-30 21:55:00,7.42,1.08,5,22.8,15.3
59,749,158,San Francisco,2025-11-19 05:05:00,3.48,1.23,4,10.2,9.39
60,3512,443,San Francisco,2025-02-08 05:30:00,4.04,1.4,3,12.2,11.08
61,2093,631,Austin,2025-12-29 18:50:00,3.23,1,4,10.5,6.36
62,1563,240,San Francisco,2025-08-22 12:05:00,7.18,1,5,21.7,13.46
63,1391,107,San Francisco,2025-08-29 19:30:00,5.48,1.37,4,17.8,11.49
64,1638,109,Boston,2025-05-22 10:00:00,4.44,1.17,5,14.7,10.53
65,2948,159,Boston,2025-12-02 08:40:00,11.32,1.07,4,32.7,20.11
66,3727,77,San Francisco,2025-02-20 07:35:00,3.23,1.32,5,11.3,10.21
67,1832,584,Boston,2025-01-26 12:25:00,11.78,1.14,4,35.3,21.87
68,1076,614,Austin,2025-12-23 21:10:00,4.06,1.51,4,10.5,11.85
69,238,158,Chicago,2025-04-21 14:55:00,5.38,1,5,17.6,9.15
70,3545,334,San Francisco,2025-04-21 04:10:00,4.46,1,5,15.9,9.74
71,2128,729,Boston,2025-07-10 00:40:00,1.63,1.5,5,5.9,5.82
72,3609,769,San Francisco,2025-06-05 19:10:00,2.56,1.11,NA,7.8,6.43
73,3306,381,Boston,2025-01-13 21:30:00,2.58,1.54,4,8.4,7.26
74,1484,490,Austin,2025-01-09 16:00:00,4.8,1,5,16.1,8.94
75,589,313,Seattle,2025-08-08 05:00:00,2.17,1.44,5,4.9,6.69
76,1203,299,Austin,2025-03-30 14:20:00,7.82,1.61,4,22.5,19.96
77,1545,680,Chicago,2025-11-21 08:50:00,3.73,1.63,5,10.5,12.56
78,264,43,Austin,2025-02-17 02:35:00,3.88,1.28,5,11.2,9.54
79,1850,446,Austin,2025-09-23 18:25:00,6.69,1.42,NA,22,16.38
80,1806,371,Chicago,2025-07-13 03:05:00,3.02,1.18,5,11.6,7.88
81,231,787,San Francisco,2025-07-08 20:50:00,4.91,1.28,5,14.4,11.97
82,1939,617,Boston,2025-12-30 09:30:00,1.48,1.02,4,4.4,5.06
83,3702,292,Chicago,2025-11-26 16:35:00,3.17,1.63,4,8.8,10.6
84,2873,342,Chicago,2025-05-24 01:50:00,5.01,1.21,5,14.3,11.29
85,3957,95,Boston,2025-05-21 02:00:00,3.81,1.29,5,10.4,10.7
86,2952,752,Austin,2025-11-09 11:55:00,7.32,1.06,5,23.5,12.96
87,1998,261,Seattle,2025-06-13 17:40:00,4.86,1.16,5,16.8,10.56
88,3865,514,Austin,2025-10-15 01:50:00,3.37,1.52,5,7.3,11.24
89,3780,54,San Francisco,2025-08-09 08:05:00,2.6,1,4,7.2,5.46
90,1907,110,Seattle,2025-06-20 08:20:00,5.06,1,5,14.7,10.26
91,816,340,Seattle,2025-12-29 05:50:00,3.48,1.68,3,13,10.93
92,1216,297,Boston,2025-11-05 02:30:00,3.64,1,5,10.8,7.83
93,1484,288,Seattle,2025-11-23 20:30:00,3.88,1.08,4,14,8.73
94,429,322,Austin,2025-08-13 05:25:00,4.42,1.03,5,13.9,9.05
95,3694,125,Austin,2025-02-05 22:25:00,3.39,1.01,5,10.7,7.75
96,3555,542,Seattle,2025-10-16 13:40:00,4.11,1.33,5,13.3,9.04
97,522,402,Chicago,2025-03-24 18:30:00,4.58,1.41,5,12.9,10.1
98,1622,14,Chicago,2025-12-27 03:10:00,9.47,1.64,4,26.5,25.38
99,2175,94,Austin,2025-10-24 03:30:00,4.25,1.5,5,11.2,11.11
100,2823,418,Boston,2025-09-01 01:40:00,5.7,1.21,3,19,12.87
101,155,283,Boston,2025-08-02 06:20:00,3.59,1,NA,9,8.75
102,3502,659,Chicago,2025-02-12 12:45:00,6.45,1,5,20.7,11.85
103,1831,89,Seattle,2025-03-11 11:50:00,8.56,1.39,5,25.4,19.8
104,2390,635,Boston,2025-06-03 23:40:00,5.21,1.14,NA,16.3,11.33
105,37,787,Boston,2025-06-08 19:20:00,2.45,1.31,4,9.9,6.92
106,1877,695,Austin,2025-10-04 01:20:00,5.66,1.47,5,16.8,14.41
107,3604,282,San Francisco,2025-06-28 14:40:00,6.58,1,3,21.2,15.12
108,2869,306,Seattle,2025-08-29 11:25:00,4.54,1.23,4,13.3,10.01
109,778,206,Austin,2025-07-07 22:10:00,9.21,1,5,26.7,15.69
110,3764,241,Seattle,2025-11-24 17:45:00,4.72,1.91,5,15.4,15.61
111,1953,357,San Francisco,2025-07-11 08:30:00,4.18,1.64,5,9.9,11.27
112,139,471,Boston,2025-07-07 04:55:00,2.29,1.11,NA,8.6,5.9
113,1549,213,Austin,2025-03-13 21:05:00,1.55,1.15,5,5.2,6.14
114,430,71,Boston,2025-08-19 21:40:00,5.59,1.01,5,16,11.2
115,625,761,Boston,2025-03-23 04:30:00,5.1,1.08,5,14.6,10.96
116,2526,41,Chicago,2025-07-23 14:00:00,4.3,1.15,NA,10.9,11.06
117,3844,139,Austin,2025-06-21 20:50:00,2.1,1.25,5,8.4,7.5
118,3802,503,Austin,2025-06-05 07:25:00,3.79,1,5,10.9,8.19
119,2582,662,Chicago,2025-03-03 23:20:00,5.35,1.14,4,16.9,11.26
120,2319,252,Boston,2025-02-16 03:40:00,5.77,1.6,5,15.3,15.26
121,286,646,Chicago,2025-09-14 17:45:00,1.88,1,4,4.8,5.77
122,798,466,Austin,2025-04-10 23:05:00,7.11,1,4,21.9,13.47
123,2933,282,Chicago,2025-03-20 15:45:00,5.06,1,5,14.1,11.04
124,3316,690,Boston,2025-04-06 02:15:00,6.22,1,3,18.5,13.65
125,463,33,San Francisco,2025-10-22 14:15:00,2.44,1,5,11.2,6.68
126,3515,314,Austin,2025-03-14 21:00:00,7.01,1,4,21.5,14.02
127,446,543,Boston,2025-05-24 02:35:00,15.47,1.27,5,47.6,31.96
128,3217,177,Chicago,2025-11-04 01:00:00,2.86,1,5,8,5.05
129,1002,394,Austin,2025-10-31 13:40:00,7.77,1.12,5,21.8,15.3
130,2697,273,San Francisco,2025-10-03 04:20:00,4.69,1.24,5,14.2,10.71
131,2410,242,Austin,2025-11-14 15:15:00,4.06,1.28,4,14.7,10.4
132,3721,463,Chicago,2025-04-19 14:50:00,5.08,1.47,5,13.5,13.15
133,91,306,San Francisco,2025-05-25 02:45:00,4.34,1.16,4,11.6,9.53
134,1831,477,Chicago,2025-10-29 20:20:00,4.67,1.28,5,11.9,10.23
135,567,782,Austin,2025-08-14 06:05:00,6.3,1,5,18.1,12.22
136,976,129,Seattle,2025-08-13 17:15:00,7.77,1.37,5,23.8,20.97
137,588,607,Chicago,2025-06-13 05:50:00,1.46,1,5,3.6,3.84
138,1961,753,Chicago,2025-10-07 15:15:00,3.04,1.37,4,7.9,9.1
139,3028,645,Seattle,2025-01-24 17:45:00,7.17,1.1,5,22.9,12.96
140,789,334,San Francisco,2025-06-27 00:25:00,4.15,1.03,4,12.5,9.85
141,1582,686,Chicago,2025-09-20 17:40:00,4.39,1.34,5,13.7,11.63
142,224,281,Seattle,2025-10-28 06:10:00,2.57,1,NA,6.8,8.53
143,790,243,Chicago,2025-03-22 05:15:00,2.93,1.76,5,7.6,9.81
144,3786,573,Chicago,2025-09-30 03:45:00,7.93,1,5,23.3,13.66
145,2671,51,Seattle,2025-08-27 08:45:00,6.25,1,4,19.3,11.04
146,1738,717,San Francisco,2025-07-14 03:00:00,2.93,1.02,5,9.6,6.45
147,2479,360,Austin,2025-05-03 09:20:00,4.45,1.23,5,14.3,10.62
148,3838,751,Austin,2025-06-04 16:25:00,1.53,1,5,3.9,4.32
149,551,88,Austin,2025-02-24 14:35:00,2.34,1.25,3,5.8,8.09
150,3729,246,Chicago,2025-03-16 14:20:00,8.72,1,5,27.6,15.04
151,773,344,Chicago,2025-01-26 01:00:00,3.32,1.34,5,9.6,10.18
152,909,521,Seattle,2025-03-23 01:50:00,3.32,1.2,5,10.6,7.04
153,3125,580,Boston,2025-08-13 11:05:00,1.89,1.17,5,4.8,3.93
154,2957,608,San Francisco,2025-05-27 03:30:00,2.25,1.31,5,8.2,7.92
155,3972,499,Seattle,2025-03-22 04:35:00,2.32,1.41,5,8,7.2
156,2213,175,Chicago,2025-11-13 22:25:00,5.06,1.81,3,16.3,16.09
157,818,654,San Francisco,2025-01-01 19:45:00,3.94,1.46,5,8.9,12.35
158,2764,398,Austin,2025-07-01 08:25:00,6.86,1.15,4,19.1,15.39
159,308,57,Chicago,2025-05-17 14:55:00,3.15,1.33,5,7.8,6.64
160,2341,220,Boston,2025-04-25 06:00:00,5.22,1.16,5,15.6,11.49
161,2846,265,Boston,2025-07-23 09:50:00,2.6,1,4,9.6,7.43
162,1647,231,Chicago,2025-08-12 15:20:00,6.91,1.16,5,21.5,13.61
163,1445,464,San Francisco,2025-12-27 03:40:00,6.16,1.18,4,21.3,12.9
164,369,210,Seattle,2025-06-14 00:10:00,2.48,1,4,8.7,6.59
165,3492,703,Chicago,2025-05-12 23:20:00,3.93,1,5,10.6,8.26
166,3360,176,Chicago,2025-02-14 06:55:00,5.64,1.73,5,16,17.27
167,2305,206,Boston,2025-11-23 10:40:00,4.88,1.69,3,11.3,13.5
168,567,554,San Francisco,2025-04-04 12:10:00,7.81,1,3,24.5,14.1
169,3168,210,San Francisco,2025-12-15 15:05:00,3.61,1.75,3,10.8,13.64
170,1712,266,Austin,2025-02-11 20:45:00,5.6,1.5,5,16.1,15.09
171,3846,29,San Francisco,2025-05-17 16:10:00,2.5,1.37,5,9.1,7.52
172,2596,350,Seattle,2025-09-10 14:30:00,4.28,1,3,10.8,9
173,2595,792,Boston,2025-06-14 16:15:00,4.73,1,4,14.7,9.84
174,980,242,Chicago,2025-12-26 17:10:00,2.67,1,5,7.6,6.94
175,1108,202,San Francisco,2025-09-29 04:55:00,9.88,1.24,4,30.9,21.94
176,1834,368,Chicago,2025-04-21 19:30:00,2.99,1,5,9.2,4.99
177,39,137,Seattle,2025-06-14 02:45:00,2.52,1,3,6.5,5.65
178,3462,353,Seattle,2025-08-03 13:20:00,1.23,1.29,4,6.3,5.39
179,2769,261,Seattle,2025-02-01 10:50:00,7.02,1,4,22.1,15.63
180,3416,397,Seattle,2025-06-09 10:05:00,7.45,1,5,20.9,14.71
181,51,151,Austin,2025-01-17 08:35:00,4.04,1.2,5,10.8,10.45
182,3502,742,Seattle,2025-07-25 04:55:00,4.28,1.46,5,12.4,12.77
183,168,647,Austin,2025-04-13 11:10:00,5.71,1.6,5,19.8,14.62
184,2922,448,Austin,2025-06-28 22:45:00,1.04,1,5,4,5.2
185,622,397,Austin,2025-03-16 22:25:00,2.86,1.39,5,7.1,9.48
186,2805,213,Seattle,2025-04-25 10:15:00,4,1.25,5,11.5,10.9
187,3470,390,San Francisco,2025-11-08 09:55:00,5.48,1.42,5,16,12.5
188,1466,579,San Francisco,2025-09-27 15:15:00,8.75,1.36,5,29.1,20.19
189,1612,774,Austin,2025-11-25 05:10:00,5.23,1.08,5,17.7,9.48
190,2423,733,Seattle,2025-10-18 08:00:00,6.27,1.11,NA,22.5,14.81
191,1070,575,Seattle,2025-08-31 09:15:00,2.1,1.38,5,3.9,7.14
192,46,288,Austin,2025-02-16 15:35:00,3.71,1,5,10.2,8.11
193,2019,576,Boston,2025-06-20 17:40:00,5.33,1.31,5,15.3,13.82
194,1215,752,Austin,2025-10-26 22:50:00,4.47,2.28,5,14.2,16.96
195,2227,89,San Francisco,2025-06-07 22:05:00,5.84,1,4,17.5,11.82
196,3442,571,Austin,2025-03-17 23:20:00,2.45,1.81,4,6,8.73
197,3091,657,San Francisco,2025-06-10 11:05:00,6.75,1.7,4,19,18.5
198,2611,66,Seattle,2025-07-15 07:25:00,9.63,1.41,3,25.4,21.89
199,1726,89,Boston,2025-10-28 15:00:00,2.67,1.6,3,8.1,9.67
200,959,137,Austin,2025-02-02 11:00:00,3.33,1,5,10.4,7.05
201,321,127,Austin,2025-02-03 22:45:00,6.82,1,5,20.2,13.32
202,1146,163,San Francisco,2025-02-20 20:15:00,8.27,1.25,5,23.7,18.05
203,1951,183,Seattle,2025-04-26 08:55:00,7.42,1.12,4,21.7,13.49
204,1174,570,Austin,2025-04-24 10:25:00,4.9,1,4,14.6,11.81
205,224,411,Chicago,2025-04-01 17:15:00,7.97,1.2,5,21.6,17.87
206,2998,54,San Francisco,2025-01-11 05:55:00,1.74,1.22,3,6.4,4.31
207,1480,435,Seattle,2025-04-05 13:05:00,3.72,1.12,3,12.9,8.46
208,2337,725,Boston,2025-03-19 13:05:00,6.99,1.57,5,18.9,19.69
209,1400,356,Chicago,2025-12-14 09:40:00,2.08,1.58,4,7.6,6.95
210,3534,501,Austin,2025-03-10 21:40:00,7.38,1,5,23.8,11.82
211,316,14,Chicago,2025-01-23 00:40:00,5.69,1,5,21.3,11.47
212,3756,420,Boston,2025-10-26 13:40:00,3.67,1,5,11.3,8.37
213,2258,66,Boston,2025-10-31 05:40:00,3.16,1.23,5,10.5,7.36
214,654,32,Boston,2025-08-16 01:45:00,6.93,1.04,5,18.7,11.81
215,3438,75,Boston,2025-05-13 23:40:00,3.8,1.31,4,13.1,10.19
216,3346,128,Boston,2025-02-21 07:15:00,2.73,1.49,3,8.6,7.95
217,2084,98,San Francisco,2025-02-19 13:45:00,4.2,1.17,4,10.5,8.06
218,3021,419,Chicago,2025-12-26 13:25:00,6.84,1.42,4,19.2,15.97
219,2576,743,Chicago,2025-01-20 09:55:00,4.5,1.42,NA,11.8,12.07
220,2526,324,Austin,2025-08-12 23:15:00,3.47,1.38,5,8.3,10.07
221,2905,474,Seattle,2025-12-09 07:55:00,2.06,1.02,5,5.5,4.04
222,1780,259,Chicago,2025-01-23 01:00:00,2.79,1.53,5,8.6,8.83
223,2033,362,San Francisco,2025-09-28 07:30:00,3.4,1,3,12,9.72
224,2508,533,Chicago,2025-01-21 15:40:00,7.8,1.28,5,23,18.99
225,389,310,San Francisco,2025-11-16 06:45:00,1.87,1.22,5,4.9,5.16
226,118,290,San Francisco,2025-01-14 05:45:00,5.08,1.07,5,15.5,10.52
227,577,226,Austin,2025-02-08 15:40:00,8.35,1,5,25.3,15.49
228,3415,756,Austin,2025-08-02 07:20:00,3.23,1.05,5,8.9,7.97
229,2317,575,Chicago,2025-01-28 09:45:00,4.92,1.33,4,12.5,13.33
230,1648,182,Boston,2025-11-30 04:00:00,3.97,1.32,5,12.2,10.61
231,583,491,San Francisco,2025-08-02 13:55:00,3.93,1.44,4,10.4,11.6
232,1350,669,Seattle,2025-05-08 05:15:00,3.33,1.18,4,7.6,8.12
233,664,270,Austin,2025-04-03 00:10:00,3.74,1,5,12.1,7.67
234,3637,313,Seattle,2025-10-03 21:40:00,4.26,1,3,16.1,8.52
235,2388,7,Austin,2025-06-20 12:30:00,3.28,1,5,11.4,8.86
236,2948,138,Chicago,2025-09-08 11:35:00,3.82,1.24,NA,12.3,8.41
237,1069,770,San Francisco,2025-12-22 01:50:00,3.09,1.27,3,6.8,9.64
238,3307,27,Chicago,2025-05-15 13:05:00,4.51,1.73,5,11.7,13.26
239,3172,376,Austin,2025-12-28 21:20:00,2.33,1.1,5,6.4,4.61
240,1877,565,San Francisco,2025-12-13 11:55:00,8.04,1.51,4,25.5,19.79
241,2072,221,San Francisco,2025-12-31 08:30:00,3.34,1,5,12.1,6.34
242,3905,613,Seattle,2025-02-09 15:40:00,15.72,1.51,5,47.5,37.67
243,863,51,Austin,2025-08-03 13:45:00,8.2,1,4,24.7,15.82
244,12,615,Chicago,2025-01-27 12:15:00,4.46,1.72,4,15.6,15.15
245,3193,272,Seattle,2025-06-04 00:50:00,9.62,1,5,30,17.61
246,3459,32,Boston,2025-08-24 00:25:00,3.3,1.27,5,9.9,9.43
247,1871,497,Austin,2025-12-20 23:45:00,4.69,1.71,5,13.8,15.38
248,3924,224,Chicago,2025-06-15 20:05:00,4.4,1.28,5,13.3,11.22
249,2277,656,Chicago,2025-05-18 21:15:00,3.73,1.12,5,10.5,9.71
250,2130,71,San Francisco,2025-04-22 10:50:00,10.16,1,5,31.5,17.57
251,2826,511,Chicago,2025-02-14 20:45:00,3.26,1.47,5,12.1,10.65
252,853,742,Austin,2025-04-25 23:15:00,4.09,1,5,14.9,9.9
253,3298,357,Boston,2025-02-13 23:25:00,2.62,1,5,6.4,4.39
254,3519,528,Seattle,2025-10-30 17:00:00,8.31,1.24,4,23.6,17.07
255,1261,145,Chicago,2025-12-15 01:20:00,6.15,1,5,17.3,11.94
256,165,639,Chicago,2025-02-07 04:55:00,5.89,1,5,19.4,10.77
257,2456,558,San Francisco,2025-12-27 01:20:00,1.84,1.19,5,7.5,6.36
258,716,681,Austin,2025-01-31 04:35:00,3.63,1.54,4,8,11.32
259,3470,603,Chicago,2025-04-26 16:25:00,3.8,1,5,10.6,8.49
260,1412,19,Chicago,2025-05-16 07:10:00,1.4,1,5,5.2,3.87
261,1877,349,Chicago,2025-09-03 15:30:00,2.85,1.65,5,9.2,10.79
262,1269,739,San Francisco,2025-02-13 19:15:00,10.45,1.03,5,29.5,17.95
263,2346,652,Boston,2025-04-13 21:40:00,2.29,1.28,5,4.8,5.97
264,3797,67,Boston,2025-01-30 10:25:00,3.67,1,4,11.9,7.57
265,326,586,Seattle,2025-05-22 21:15:00,4.55,1,4,11.4,10.42
266,2995,682,Chicago,2025-11-25 07:45:00,4.12,1.43,5,13.3,10.77
267,1516,638,San Francisco,2025-05-27 06:40:00,2.56,1.22,3,8.6,5.16
268,833,323,Seattle,2025-04-05 15:20:00,4.4,1.6,5,12.6,13.67
269,3697,628,Chicago,2025-02-01 07:20:00,3.59,1.18,5,9.4,8.2
270,3184,147,Chicago,2025-12-18 03:00:00,4.5,1.87,NA,13.4,14.02
271,3682,641,Boston,2025-01-20 17:10:00,5.28,1.15,4,17.2,11.64
272,3085,471,Seattle,2025-11-09 14:05:00,6.62,1.03,5,18.8,11.64
273,2249,446,Austin,2025-11-09 11:00:00,10.58,1,5,32,18.87
274,45,581,Seattle,2025-10-19 06:10:00,6.1,1.38,5,19.7,15.76
275,441,692,Austin,2025-05-15 18:25:00,4.36,1.44,4,12.8,10.99
276,1078,356,Boston,2025-03-07 02:20:00,3,1.02,4,9.9,7.28
277,2164,383,Boston,2025-11-28 23:50:00,5.33,1.68,NA,14.1,14.36
278,1716,541,Austin,2025-05-07 02:55:00,2.66,1.11,3,6.4,7.34
279,2458,247,Seattle,2025-06-07 11:40:00,5.54,1.83,5,17.1,19.03
280,3118,91,Chicago,2025-09-26 00:20:00,3.68,1.33,5,12.9,10.61
281,992,745,Boston,2025-09-28 06:05:00,7.12,1.09,3,21.1,14.4
282,1063,265,Chicago,2025-09-02 22:05:00,1.3,1.08,4,3.5,3.74
283,1064,88,Seattle,2025-11-12 01:05:00,9.41,1.02,5,26,16.67
284,3524,537,Boston,2025-08-23 19:20:00,8.8,1.06,5,25.6,16.33
285,1928,347,Boston,2025-01-18 07:15:00,3.21,1,5,10.6,6.82
286,259,117,San Francisco,2025-01-31 12:05:00,3.46,1,5,8.3,6.4
287,3741,678,Seattle,2025-03-05 05:55:00,4.7,1.61,5,10.7,14.51
288,3855,211,Chicago,2025-10-18 13:35:00,4.31,1.59,4,14.1,13.07
289,2960,638,Chicago,2025-04-11 05:20:00,12.9,1.38,4,41.2,28.55
290,3431,524,San Francisco,2025-06-18 09:15:00,3.25,1.1,5,9.9,8.38
291,2767,370,San Francisco,2025-08-16 19:20:00,5.23,1,4,14.1,9.63
292,851,218,Seattle,2025-10-19 16:25:00,3.29,1,5,8.8,7.11
293,2650,675,Seattle,2025-02-11 05:05:00,3.96,1,5,14.3,8.16
294,3232,154,San Francisco,2025-12-25 16:10:00,2.37,1,5,5.3,5.44
295,3379,344,Boston,2025-07-03 15:05:00,7.45,1,4,23.2,14.43
296,1547,102,Seattle,2025-02-19 22:15:00,4.65,1.27,5,12.2,12.19
297,1935,257,San Francisco,2025-04-23 00:10:00,2.79,1,5,9.6,5.66
298,3658,496,Chicago,2025-05-22 06:50:00,7.59,1,4,24.2,14.64
299,1720,354,Boston,2025-05-18 01:20:00,5.84,1.21,5,18,12.37
300,767,630,Boston,2025-09-20 00:40:00,4.3,1.43,5,12.3,13.51
301,3377,546,Seattle,2025-04-27 10:40:00,1.69,1.15,5,5.6,6.73
302,3088,444,Austin,2025-11-23 23:25:00,5.82,1,5,16,9.69
303,995,543,San Francisco,2025-02-09 17:20:00,2.7,1.57,5,5.9,8.73
304,569,171,Seattle,2025-08-09 22:25:00,5.64,1.09,5,12.9,9.26
305,3438,361,Austin,2025-11-19 11:15:00,2.99,1,5,10,8.82
306,531,432,Chicago,2025-02-09 10:15:00,10.86,1.9,4,30.7,35.22
307,2927,181,Boston,2025-10-26 15:00:00,3.43,1,3,10.4,8
308,1393,385,Chicago,2025-09-02 06:40:00,3.05,1.2,4,8.2,9.37
309,1057,236,Chicago,2025-06-26 08:50:00,3.23,1.36,5,8.3,9.57
310,1092,288,Chicago,2025-08-01 11:55:00,2.83,1.39,5,5.9,7.97
311,3846,297,Chicago,2025-12-12 20:15:00,1.84,1,5,7.8,5.09
312,131,346,Seattle,2025-06-29 02:20:00,5.2,1.69,5,15.9,16.66
313,344,456,Chicago,2025-06-02 02:25:00,8.63,1.63,5,24.8,24.16
314,232,591,Austin,2025-04-04 14:10:00,4.72,1.63,4,15.5,15.05
315,3038,384,San Francisco,2025-01-21 01:05:00,2.37,1.08,5,7.4,6.57
316,3432,83,Chicago,2025-07-08 21:00:00,3.44,1.02,5,8,6.4
317,3928,478,Chicago,2025-07-28 13:30:00,6.13,1.48,NA,17.9,16.48
318,3659,506,Chicago,2025-06-11 15:40:00,5,1,5,15.4,9.17
319,3766,202,Austin,2025-04-19 05:10:00,1.96,1,4,6.4,4.75
320,1793,612,San Francisco,2025-03-17 17:40:00,4.13,1.21,NA,12.9,9.9
321,1286,788,San Francisco,2025-03-10 11:10:00,6.63,1,5,21.3,12.1
322,2131,338,Boston,2025-12-23 04:55:00,6.45,1.2,5,16.7,14.93
323,3647,313,Seattle,2025-02-19 12:15:00,8.92,1.33,5,22.8,20.23
324,2752,556,Seattle,2025-05-22 16:35:00,6.59,1.46,5,17.1,16.11
325,1505,279,Austin,2025-04-16 15:50:00,5.21,1,5,15.4,10.31
326,1840,209,Boston,2025-10-20 21:35:00,4.59,1.02,5,12.9,11.32
327,2175,666,San Francisco,2025-05-11 06:30:00,3.74,1.48,5,11.4,12.4
328,438,137,Austin,2025-12-24 23:40:00,4,1,3,11.6,8.12
329,2280,93,Austin,2025-10-21 06:45:00,4.44,1,5,14.4,8.14
330,84,626,Seattle,2025-04-11 17:55:00,11.22,1.2,4,33.9,23.88
331,1321,93,San Francisco,2025-05-14 13:50:00,4.09,1.67,NA,13.7,11.6
332,2928,417,Chicago,2025-11-26 14:30:00,6.14,1,5,18,12.71
